C + 5         6         6       3952061.5(1S)
    1 1S1               (2)0(  .5)             .0     {1}1.000
    2 2S1               (2)0(  .5)      2963904.2     {1}1.000
    3 2P1               (2)1( 2.5)      2964194.7     {1}1.000
    4 3S1               (2)0(  .5)      3512929.5     {1}1.000
    5 3P1               (2)1( 2.5)      3513015.3     {1}1.000
    6 3D1               (2)2( 4.5)      3513090.2     {1}1.000
    7 4P1               (2)1( 2.5)      3705107.2     {1}1.000
    8 4F1               (2)3( 6.5)      3705152.2     {1}1.000
    9 4S1               (2)0(  .5)      3705070.8     {1}1.000
   10 4D1               (2)2( 4.5)      3705138.6     {1}1.000
   11 5P1               (2)1( 2.5)      3794015.7     {1}1.000
   12 5S1               (2)0(  .5)      3793997.2     {1}1.000
   13 5G1               (2)4( 8.5)      3794042.7     {1}1.000
   14 5D1               (2)2( 4.5)      3794031.9     {1}1.000
   15 5F1               (2)3( 6.5)      3794038.9     {1}1.000
   -1      36.02    9.01    9.00    4.00    4.00    4.00    2.25    2.25    2.25    2.25    1.44    1.44    1.44    1.44    1.44
  14   3 1.22+10 2.31-01 2.33-01 2.38-01 2.38-01 2.38-01 2.41-01 2.45-01 2.50-01 2.61-01 2.82-01 3.26-01 3.59-01 3.87-01 4.90-01
  14   5 4.39+09 1.04+00 1.08+00 1.14+00 1.17+00 1.23+00 1.37+00 1.50+00 1.62+00 1.82+00 2.15+00 2.72+00 3.12+00 3.42+00 4.48+00
  14   7 1.93+09 7.45+00 8.14+00 9.32+00 1.01+01 1.16+01 1.49+01 1.76+01 1.99+01 2.38+01 2.97+01 3.90+01 4.50+01 4.95+01 6.47+01
  14   8 6.54+07 1.46+00 1.69+00 2.05+00 2.00+00 1.95+00 1.94+00 1.98+00 2.03+00 2.13+00 2.32+00 2.63+00 2.85+00 3.01+00 3.54+00
  13   8 5.51+09 8.29+01 9.40+01 1.12+02 1.16+02 1.24+02 1.42+02 1.57+02 1.69+02 1.90+02 2.22+02 2.72+02 3.05+02 3.29+02 4.09+02
   8   1 1.00-30 9.63-05 9.63-05 9.63-05 9.45-05 9.12-05 8.42-05 7.87-05 7.42-05 6.71-05 5.77-05 4.57-05 4.00-05 3.67-05 3.03-05
   8   2 1.00-30 5.44-02 5.44-02 5.44-02 5.39-02 5.31-02 5.22-02 5.19-02 5.18-02 5.20-02 5.27-02 5.43-02 5.54-02 5.63-02 5.87-02
   8   4 1.00-30 1.15+00 1.15+00 1.15+00 1.15+00 1.15+00 1.16+00 1.16+00 1.17+00 1.18+00 1.19+00 1.23+00 1.25+00 1.26+00 1.31+00
  12   8 1.00-30 1.64-01 1.64-01 1.64-01 1.56-01 1.47-01 1.34-01 1.29-01 1.27-01 1.25-01 1.24-01 1.27-01 1.30-01 1.31-01 1.37-01
  13   1 1.00-30 2.00-06 2.00-06 2.00-06 1.95-06 1.86-06 1.68-06 1.53-06 1.41-06 1.23-06 9.93-07 6.96-07 5.56-07 4.76-07 3.26-07
  13   2 1.00-30 3.85-03 3.85-03 3.85-03 3.71-03 3.48-03 3.11-03 2.88-03 2.73-03 2.55-03 2.38-03 2.27-03 2.27-03 2.28-03 2.38-03
  13   3 1.00-30 8.76-03 8.76-03 8.76-03 8.43-03 7.93-03 7.15-03 6.70-03 6.42-03 6.10-03 5.85-03 5.76-03 5.82-03 5.90-03 6.20-03
  13   4 1.00-30 2.08-01 2.08-01 2.08-01 2.05-01 2.02-01 2.00-01 2.01-01 2.03-01 2.07-01 2.14-01 2.28-01 2.36-01 2.41-01 2.57-01
  13   5 1.00-30 8.12-01 8.12-01 8.12-01 8.13-01 8.17-01 8.30-01 8.44-01 8.56-01 8.75-01 9.01-01 9.36-01 9.54-01 9.66-01 9.95-01
  13   7 1.00-30 6.88+00 6.88+00 6.88+00 6.88+00 6.88+00 6.91+00 6.95+00 7.00+00 7.08+00 7.22+00 7.45+00 7.59+00 7.68+00 7.95+00
  13   9 1.00-30 1.22+00 1.22+00 1.22+00 1.23+00 1.25+00 1.29+00 1.33+00 1.35+00 1.40+00 1.46+00 1.53+00 1.57+00 1.59+00 1.65+00
  15   1 1.00-30 7.59-05 7.59-05 7.59-05 7.45-05 7.19-05 6.64-05 6.21-05 5.85-05 5.29-05 4.55-05 3.59-05 3.14-05 2.87-05 2.35-05
  15   2 1.00-30 2.82-02 2.82-02 2.82-02 2.78-02 2.72-02 2.64-02 2.59-02 2.57-02 2.55-02 2.55-02 2.59-02 2.63-02 2.67-02 2.77-02
  15   4 1.00-30 1.23-01 1.23-01 1.23-01 1.19-01 1.14-01 1.06-01 1.03-01 1.01-01 9.88-02 9.85-02 1.01-01 1.03-01 1.05-01 1.10-01
  15   9 1.00-30 2.72+00 2.72+00 2.72+00 2.75+00 2.78+00 2.84+00 2.89+00 2.91+00 2.96+00 3.01+00 3.06+00 3.09+00 3.11+00 3.14+00
R  1  +1         4.41-12 3.11-12 2.19-12 1.78-12 1.37-12 9.49-13 7.61-13 6.47-13 5.11-13 3.73-13 2.33-13 1.72-13 1.37-13 6.08-14
R  2  +1         6.45-13 4.55-13 3.21-13 2.62-13 2.01-13 1.40-13 1.13-13 9.58-14 7.56-14 5.49-14 3.40-14 2.49-14 1.97-14 8.54-15
R  3  +1         1.75-12 1.22-12 8.43-13 6.72-13 4.98-13 3.20-13 2.41-13 1.94-13 1.40-13 8.91-14 4.48-14 2.88-14 2.08-14 6.71-15
R  4  +1         2.16-13 1.52-13 1.07-13 8.75-14 6.73-14 4.66-14 3.72-14 3.16-14 2.47-14 1.78-14 1.08-14 7.88-15 6.19-15 2.65-15
R  5  +1         6.61-13 4.62-13 3.19-13 2.55-13 1.89-13 1.21-13 9.13-14 7.35-14 5.29-14 3.35-14 1.68-14 1.08-14 7.74-15 2.49-15
R  6  +1         7.45-13 5.08-13 3.36-13 2.58-13 1.80-13 1.03-13 7.16-14 5.41-14 3.55-14 2.00-14 8.55-15 5.04-15 3.43-15 9.52-16
